[00:00] 我们到了3號
[28:45] 這個劇人你丟三文字
[28:46] 好一點
[28:47] 他竟然丟九文字
[28:49] 但是他表達哪個
[28:51] 他在那裡
[28:52] 他在那裡
[28:53] 他在那裡
[28:55] 所以你都太多水吧
[28:57] 然後你拿到
[28:58] 你都不想
[28:59] 你先一邊來走
[29:01] 然後要看空
[29:02] 我們過一家很快
[29:04] 我們去
[29:05] 欸
[29:06] 好空打
[29:07] 你太運球
[29:09] 我們不用太快跑
[29:11] 你要走到碰到
[29:13] 好
[29:15] 好
[29:16] 要請多兩個
[29:17] 走
[29:19] 跟男士要打的是你
[29:21] 再一次
[29:22] 我會幫你
[29:23] 我會幫你
[34:37] 這裡啊
[34:37] 搜尋
[34:38] 這裡
[34:39] 搜尋
[34:40] 搜尋
[34:41] 那以前人進去
[34:42] 我
[34:43] 進去一個口口
[34:45] 那我看看
[34:46] 我帶著眼睛
[34:48] 這是
[34:50] 這是
[34:51] 三十部
[34:52] 二十部
[34:53] 三十五個
[34:55] 三十部
[34:56] 三十部
[34:57] 三十部
[34:58] 三十部
[34:59] 三十部
[35:00] 三十部
[35:01] 三十部
[35:02] 三十部
[35:03] 三十部
[35:04] 三十部
[35:05] 三十部
[35:06] believe it
[35:10] 听不た
[35:14] 飞是吧
[35:22] 嗯
[35:23] 我要 kitchen
[35:25] 把王教室说
[35:30] 嘶你 pedo
[35:35] 有些人想要
[35:38] 想要想要
[35:40] 想要想要
[35:41] 想要想要
[41:05] 法定人數不足
[42:05] 。。。
[42:36] 他沒有
[42:37] 他沒有
[42:38] 他沒有
[42:39] 欸不像他
[42:40] 他沒有
[42:41] 他沒有
[42:42] 他可能
[42:43] 就在這邊不拉手
[42:44] 他會表達是
[42:46] 沒有他會表達
[42:47] 有沒有
[42:48] 會到
[42:49] 他沒有
[42:50] 有
[42:51] 有到
[42:52] 對
[42:53] 他就是會
[42:54] 出一支會主
[42:55] 就是
[42:56] 他表達
[42:57] 那個拉手
[42:58] 他表達
[42:59] 他表達
[43:00] 他表達
[43:01] 他表達
[43:02] 他表達
[43:03] 他表達
[43:04] 他表達
[44:05] 請看電視
[44:08] 還有誰啊
[44:10] 那位女友在玩一個
[44:14] 場合的女友可能會有一個結婚
[44:17] 然後幾位跟幾位男女的當初
[44:21] 那位當初的女友
[44:23] 是
[44:26] 因為有時候他們班門警的時候
[44:28] 就會從旁邊打手穿點對
[44:31] 可是從旁邊穿的話
[44:32] 比較容易出界
[44:34] 有多感觉
[44:36] 这次我们刚对主队的时候
[44:38] 他们说
[44:40] 我来过来
[44:42] 我刚才说
[44:44] 我刚刚说
[44:46] 我刚刚说
[44:48] 我刚刚说
[44:50] 我刚刚说
[44:52] 我刚刚说
[44:54] 我刚刚说
[44:56] 我刚刚说
[44:58] 我刚刚说
[45:00] 我刚刚说
[45:02] 我刚刚说
[45:03] 他們雖然丟苦高門到手房的高
[45:06] 但是他們丟太高就又是結尾
[45:09] 留下一個好房子
[45:10] 給自己去
[45:11] 不客氣
[45:12] 不要這樣
[45:15] 我跟她的洗球就是洗一次
[45:18] 然後我本來就會打你起這樣子
[45:20] 就是因為我就
[45:21] 都是想要洗兩次
[45:23] 可是他們就是都自己
[45:25] 是拿航車來的洗臉
[45:27] 對 超熱的
[45:28] 不一樣
[45:29] 我們這體招的男球課就是要讓各位同學學會的發現空盤,然後如何傳控
[45:48] 好,是你們在你們剛剛比賽的時候有關場
[45:52] 好,有關場
[45:53] 我們也有做錄影,我們之後回來之後
[45:56] 可以叫做錄影
[45:59] 然後可以看我們錄影的成功
[46:01] 看你們做的哪些工作
[46:03] 好,看你們考慮哪些礦板
[46:06] 好,全部都要
[46:08] 直接
[46:09] 可以
[46:15] 你看
